Element,Count
b'w\xe2h9',6465
b'\x01l|\xa8',6464
b'\x01l%0',6462
b'\x8bv\xab6',6429
b'lw\x01\xe0',6422
b'~#e\xb4',6412
b'\x80&F\xb4',6389
b'I\xf0\xa6\x0b',6382
b'\x99\xc1\x8f\x18',6378
b'\xcf\x98\xd1/',6374
b'$\x05\x98\xa2',6360
b'z\x05\xbd\xe7',6353
b'\x99\xc1\r\xe1',6322
b'\xcc\xc0(X',6307
"b""'\xb7\t\x9d""",6307
b'lw\x01\xe7',6307
b'\xdfl8\xf6',6307
b'\x838\xadW',6298
b'l\x03\r\x93',6289
"b""G\xb8'^""",6269
b'+\t\xccu',6267
b'A\xde2\x95',6259
b'tA-\x18',6256
b'\xcf\x89y3',6253
b'\x01l|\xb2',6248
b'\x01F\xca\x89',6235
b'\xb7\xc7\x15\x01',6230
b'l!\xc7\xb3',6201
b'\x06\xea\xb2B',6198
b'Gd#\xef',6192
b'\xb7\xc6\xf6\xb7',6189
b'q\x9a\x17z',6177
b'up:\x83',6090
b'\xcf\x890\xa7',6087
b'\xcb#!E',6066
b'lw\x05r',6062
b'\xdc\x1bP\xc4',6059
b'\x15\xe4$x',6058
b'\x82\x07mX',6055
b'\xb7\xaf[\x87',6051
b'\xc7\xf7#\xb2',6027
b'\x99\xc1\xa1\x90',6022
b'\x01l}\xc5',5994
b'q\xadA*',5976
b'pw\xca\xfd',5976
b'X\xdf\xf0\xf4',5974
b'\x9e\nRn',5974
b'\xd6\xee\xfb\x0f',5956
b'\xb2\x1f;-',5950
b'\x92\xe0\x81^',5941
"b""'\xa8\x08r""",5941
b'3\x8b\xd6\xaa',5911
b'\xd2\x1e\xbf\xe4',5911
b'{\xe8\x87\xec',5905
b'\xb7\xe4Y\x1f',5896
b'\xb7\x9aw\r',5896
b'\xc7\xcb`;',5887
"b""\xd38'\n""",5885
b'\x89\xa1\xf8\x0f',5884
b'on\x8cA',5883
b'\xb7\xa7Rp',5878
b'++/\xb2',5876
b'lw\x01\xee',5873
b'\x92M\xd7\xca',5866
b'\xcc\xcb\xc9\xdd',5859
b'o%\xf9X',5853
b'\xc7\x15\xf9\x03',5826
b'\xb8ac\x02',5817
b'\x8e\xe0\xdaO',5811
b'\xd2\x16\xf9\xeb',5806
b'lw\x01\xef',5799
b'lw\x05L',5797
b'\xcf\x88\x8e\xa2',5797
b'\nK\xa7\xc2',5796
b'\xd4\xeeN\x82',5786
"b'\xb7\xc4""\x1d'",5781
b'\x0fS\xe8\xd5',5773
b'+\x90\x17\x14',5767
b'\x89\xe0\x82\x8d',5760
b'\xcd\xa5\x8b\x02',5747
b'E\x0c\xa0E',5735
b'\x01`Z\xd6',5735
b'\xdc\x1bP\xc7',5702
b'/?$\x83',5687
b'\xb7\xa7=0',5636
b'\xd2\xd7\x9fS',5631
b'\xb7\xe8R|',5625
b'lw\x01\xe8',5622
b'lw\x05%',5617
b'\xd8\xf18\xf6',5611
b'ur=\xf2',5606
b'\xd4\x89\x1a\xbf',5603
b'JF\x11\xaf',5599
b'\x7f\xd1\xab!',5597
b'\x99\xc1\xe9y',5595
b'\xc9\xcb\xb6\xda',5590
b'r\n\xfa ',5578
b'\xcf\x83\xb9\x8c',5577
b'\xb7\xb2\xa9\xda',5567
b'lw\x05k',5567
b'\x9d\r\xa8\xc8',5557
