Element,Count
b'\x802)\xf1?\x88\x01`\xa78\x01\xbb\x06',12468
b'\xca\xd3V\x1c\x9d\x07\x01`\xa7\xda\x01\xbb\x06',12419
b'uF\xb0\xec\xcf\xd0+\xfc\xe2\x1b\x00P\x06',12304
b'z\x0c\x01M\xe4p\x01`\xf5T\x00P\x06',12301
"b'{\xed5\xc3\xd2""+\xfc\xe0$\x00P\x06'",12286
b'\xc9{\x86\x03\x00Q\x89!\xed\x1e\xc0/\x06',12261
b'^\x00\xaa\xcc4Q\xa9\xaf\xbb\xa2\xe3\xce\x11',12173
b'\xd3I\x07S\xc7\xfb+\xfc\xe04\x00P\x06',12128
b'Lo\x1a\x06\x81\x92o\xcd\x19\xd2\x1f\x90\x11',12119
b'E\x0c\xd5\xf5\xd2\xcf\xdd.\xdc\xec\x00P\x06',12057
b'E\x0c\xd5\xef\xa5L\xdd.\xdc\xf2\x00P\x06',12055
b'\xcf\x88\x0c\xa6\xb0\xaa\x01`\xa7U\x01\xbb\x06',12015
"b'\xcb""q\xa0\x83\x03+\xfc\xe2\x1b\x00P\x06'",12002
b'E\x0c\xd5\xed\xe0\x8c\xdd.\xdc\xf0\x00P\x06',11989
b'f\x06\x9c\xc0\xbd\xb1\xdd.\xdc\xed\x00P\x06',11982
b'A\xad4`\xb5l\xdd.\xdc\xf0\x00P\x06',11956
b'\r\x1c\xed\xe1\xd6e+\xfc\xe2\x19\x00P\x06',11760
b'u[YN\xc0\x1e\x01`\xf5\x85\x00P\x06',11731
b'\nN\xd3s\xe0&\x01`\x8e\xbe\x01\xbb\x06',11707
b'\xd3\x19*~\x00P\x89#\x91\xf5\xec\x12\x06',11704
b'\xcf\x80C\xe1^\xe3\x01`\xa6\xf0\x01\xbb\x06',11698
b'uER\x02\xeb\x97+\xfc\xe2$\x00P\x06',11673
b'w\xea\xef\x0b\x16\x00\x01`\xa6\xf0\x01\xbb\x06',11632
b'l\x15\xe4\xa6\x1a\xdb\x01`\xa76\x01\xbb\x06',11580
b'\nH\x82H\xd0/+\xfc\xe2\x1b\x00P\x06',11466
b'~.~\x13\xa5\xb3+\xfc\xe2\x05\x01\xbb\x06',11426
b'\x82/*\x1c\xf3z+\xfc\xe0\x9b\x00P\x06',11398
"b'\x82\x0b,\x9c\xc7~+\xfc\xe2+\x00P\x06'",11382
b'\x99\xc1\r\xe2\xb3\xa1\xdd.\xdc\xef\x00P\x06',11378
b'\xcf\x96\xd4\x8bi\n\x01`\xa7z\x01\xbb\x06',11323
"b'\x87\x97\xd2\x18\x00P\x01:,\x90\xd0\xca\x06'",11321
b'\x800\xeeP <\x01`\xa6\xc7\x01\xbb\x06',11280
